domain, source, date
fidemanlage[.]de, https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Verbrauchermitteilung/unerlaubte/2025/neu/meldung_2025_10_07_fidemanlage_de.html?cms_expanded=false, 07.10.2025
novastrade[.]com, https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Verbrauchermitteilung/unerlaubte/2025/neu/meldung_2025_10_06_NovasTrade.html?cms_expanded=false, 06.10.2025
exocapitals[.]com, https://www.nssmc.gov.ua/komisiia-dodala-do-pereliku-try-novi-scam-proiekty/, 06.10.2025
itrade[.]money, https://www.nssmc.gov.ua/komisiia-dodala-do-pereliku-try-novi-scam-proiekty/, 06.10.2025
stakhovainvest[.]com, https://www.nssmc.gov.ua/komisiia-dodala-do-pereliku-try-novi-scam-proiekty/, 06.10.2025
stakhovainvest.kwiga[.]com, https://www.nssmc.gov.ua/komisiia-dodala-do-pereliku-try-novi-scam-proiekty/, 06.10.2025
futureftrader[.]net, https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Verbrauchermitteilung/unerlaubte/2025/neu/meldung_2025_10_10_futureftrader_net.html?cms_expanded=false, 10.10.2025
velorgain[.]com, https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Verbrauchermitteilung/unerlaubte/2025/neu/meldung_2025_10_10_velorgain_com.html?cms_expanded=false, 10.10.2025
robosparkinvestor[.]com, https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Verbrauchermitteilung/unerlaubte/2025/neu/meldung_2025_10_10_robospark_investor.html?cms_expanded=false, 10.10.2025
trx-dex[.]de, https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Verbrauchermitteilung/unerlaubte/2025/neu/meldung_2025_10_10_trx-dex_de.html?cms_expanded=false, 10.10.2025